seed,n_outliers,Oracle,Naive,ratio_lr0.01,ratio_lr0.01_clean_kept,ratio_lr0.01_outliers_left,ratio_lr0.01_cycles,ratio_lr0.01_stopped,ratio_lr0.01_removed_clean_pos,ratio_lr0.01_removed_clean_neg,ratio_lr0.1,ratio_lr0.1_clean_kept,ratio_lr0.1_outliers_left,ratio_lr0.1_cycles,ratio_lr0.1_stopped,ratio_lr0.1_removed_clean_pos,ratio_lr0.1_removed_clean_neg,ratio_lr0.5,ratio_lr0.5_clean_kept,ratio_lr0.5_outliers_left,ratio_lr0.5_cycles,ratio_lr0.5_stopped,ratio_lr0.5_removed_clean_pos,ratio_lr0.5_removed_clean_neg,readmit_lr0.01,readmit_lr0.01_clean_kept,readmit_lr0.01_outliers_left,readmit_lr0.01_cycles,readmit_lr0.01_stopped,readmit_lr0.01_removed_clean_pos,readmit_lr0.01_removed_clean_neg,readmit_lr0.1,readmit_lr0.1_clean_kept,readmit_lr0.1_outliers_left,readmit_lr0.1_cycles,readmit_lr0.1_stopped,readmit_lr0.1_removed_clean_pos,readmit_lr0.1_removed_clean_neg,readmit_lr0.5,readmit_lr0.5_clean_kept,readmit_lr0.5_outliers_left,readmit_lr0.5_cycles,readmit_lr0.5_stopped,readmit_lr0.5_removed_clean_pos,readmit_lr0.5_removed_clean_neg
0,92,0.029211322573062835,0.1312355251663121,0.03176026440998109,810,0,3,True,56,42,0.03174452969973787,810,0,3,True,56,42,0.03175445298249585,810,0,3,True,56,42,0.03135751982928578,905,1,3,True,1,2,0.031341489095452965,905,1,3,True,1,2,0.031338559613747305,905,1,3,True,1,2
21,92,0.0247045991694225,0.11753845965283823,0.03060810376384244,810,0,3,True,57,41,0.03063098962761181,810,0,3,True,57,41,0.030675395155040693,810,0,3,True,57,41,0.024814729660896814,905,0,3,True,2,1,0.024825520146986357,905,0,3,True,2,1,0.024864383802591667,905,0,3,True,2,1
22,91,0.022433031549658082,0.23681356797207878,0.016378178477153824,810,0,3,True,54,45,0.016400041068380188,810,0,3,True,54,45,0.01642691925829839,810,0,3,True,54,45,0.023361630894028713,906,0,4,True,2,1,0.023344292299552035,906,0,4,True,2,1,0.02331075094039211,906,0,4,True,2,1
23,112,0.023504573984630923,0.3427875094144389,0.04410179042799581,810,0,3,True,53,25,0.04407303056725747,810,0,3,True,53,25,0.04406143735442395,810,0,3,True,53,25,0.022804473640179297,885,0,5,False,1,2,0.02280549527291744,885,0,5,False,1,2,0.02279817998180222,885,0,5,False,1,2
24,107,0.020969334044527308,0.2300107482005302,0.030099302052854316,810,0,3,True,38,45,0.030027244342805678,810,0,3,True,38,45,0.03006824781580316,810,0,3,True,38,45,0.019363892603738362,890,0,3,True,2,1,0.019334836289263965,890,0,3,True,2,1,0.019357927741473283,890,0,3,True,2,1
25,101,0.020462876865763244,0.27564664806882694,0.02122414521060261,810,0,3,True,44,45,0.021220397280559845,810,0,3,True,44,45,0.02121646454627312,810,0,3,True,44,45,0.020859183181265284,895,0,4,True,2,2,0.02089361715198045,895,0,4,True,2,2,0.02087554879165555,895,0,4,True,2,2
26,104,0.009516453995597298,0.3539621373703259,0.023516091955975107,810,0,3,True,49,37,0.023560171397079083,810,0,3,True,49,37,0.023545895269509287,810,0,3,True,49,37,0.010067263571956246,895,0,3,True,0,1,0.010087750828092578,895,0,3,True,0,1,0.010109654282863343,895,0,3,True,0,1
27,109,0.015034206571228632,0.21259078361278863,0.0145844466281128,810,0,3,True,49,32,0.015190973278121474,810,0,3,True,48,33,0.015208557809318268,810,0,3,True,48,33,0.016414292370660617,891,2,4,True,0,0,0.01646628327993081,891,2,4,True,0,0,0.01644898209337326,891,2,4,True,0,0
28,92,0.009654868093651143,0.10763748093618618,0.011160097515501961,809,1,3,True,55,44,0.011088738939293089,809,1,3,True,55,44,0.011101905426748295,809,1,3,True,55,44,0.009972431025965423,905,2,3,True,1,2,0.00994827176870484,905,2,3,True,1,2,0.009957201687570054,905,2,3,True,1,2
29,103,0.007337299688468594,0.2765809003208504,0.024970336077373263,810,0,3,True,45,42,0.025027442989995347,810,0,3,True,45,42,0.0250410799159295,810,0,3,True,45,42,0.007416720704531657,893,0,3,True,2,2,0.007415927161925468,893,0,3,True,2,2,0.0073868864517963725,893,0,3,True,2,2
30,92,0.01831779814147453,0.2761387180098698,0.024270770874547987,810,0,3,True,46,52,0.024240506970017107,810,0,3,True,46,52,0.024268544654741618,810,0,3,True,46,52,0.01805577855930515,907,0,4,True,0,1,0.018080172398202872,907,0,4,True,0,1,0.018103238957928085,907,0,4,True,0,1
31,99,0.03705866375478338,0.16986024636085373,0.03183698990609437,810,0,3,True,46,45,0.03179648047036857,810,0,3,True,46,45,0.03177235543422911,810,0,3,True,46,45,0.0357498829353699,900,0,4,True,0,1,0.03576900933182056,900,0,4,True,0,1,0.03575980677305165,900,0,4,True,0,1
32,81,0.01681154219237382,0.12956890635719204,0.021932098621040643,810,0,3,True,57,52,0.021972748971254473,810,0,3,True,57,52,0.021975236510037088,810,0,3,True,57,52,0.014431850970311392,916,1,3,True,2,1,0.014480837117638406,916,1,3,True,2,1,0.014445127262047455,916,1,3,True,2,1
33,89,0.003119973340731619,0.1309139193099414,0.0028655219909494043,809,1,3,True,52,50,0.002893539070009625,809,1,3,True,52,50,0.0029048378115364907,809,1,3,True,52,50,0.0029198220265127203,911,2,3,True,0,0,0.0029091830094381318,911,2,3,True,0,0,0.0028911485802120595,911,2,3,True,0,0
34,85,0.02903781357771047,0.19228206886869953,0.032539588613305685,809,1,3,True,66,40,0.03255894239570455,809,1,3,True,66,40,0.0325698255666655,809,1,3,True,66,40,0.027933571474147788,911,2,3,True,2,2,0.027942889778825405,911,2,3,True,2,2,0.02799202395219746,911,2,3,True,2,2
35,90,0.011838250863356124,0.3370738198157564,0.006118836538712033,810,0,3,True,52,48,0.006097850046447025,810,0,3,True,52,48,0.006110338474935622,810,0,3,True,52,48,0.013686918476036748,906,0,4,True,1,3,0.013643132107305571,906,0,4,True,1,3,0.01368753556905064,906,0,4,True,1,3
36,77,0.018702988418856637,0.2150449808917276,0.017631275922786446,810,0,3,True,65,48,0.017626758863457267,810,0,3,True,65,48,0.017649239444093332,810,0,3,True,65,48,0.01942230486704791,922,1,3,True,0,1,0.019430964827183206,922,1,3,True,0,1,0.019451369259868054,922,1,3,True,0,1
37,98,0.02066079323937607,0.09815058274047982,0.019707661490730093,810,0,3,True,43,49,0.019762703833874542,810,0,3,True,43,49,0.019715697944952485,810,0,3,True,43,49,0.018020926356189015,899,2,3,True,2,1,0.018036262408528243,899,2,3,True,2,1,0.01804810805270846,899,2,3,True,2,1
38,97,0.019803797659651262,0.2922424896992787,0.02097133472740365,810,0,3,True,48,45,0.020977336199344918,810,0,3,True,48,45,0.020986180718726863,810,0,3,True,48,45,0.020803123627710945,901,0,3,True,2,0,0.020791818844998835,901,0,3,True,2,0,0.020798676998911803,901,0,3,True,2,0
