Optimizer,Batch Type,Init Type,Estimation Error,Weight Error
GD,SGD,random,0.010076488869250857,0.09509594001209484
GD,SGD,sparse,0.004776165856077491,0.11320661401239551
GD,SGD,zero,0.0030705654040197373,0.09684833182964739
GD,full,random,0.010278296558311837,0.023617908248303954
GD,full,sparse,0.010278296558310616,0.023617887654502515
GD,full,zero,0.010278296558309655,0.023617814835588558
GD,mini-batch,random,0.01168039194812359,0.023310517777258084
GD,mini-batch,sparse,0.011680391332817328,0.02331049342999902
GD,mini-batch,zero,0.01168039214656108,0.023310418555279645
AdaGrad,SGD,random,0.0005587493711258976,0.5018108262482797
AdaGrad,SGD,sparse,0.015134624928676548,0.2048532039442005
AdaGrad,SGD,zero,0.0035321508662886775,0.03876302714664409
AdaGrad,full,random,0.01239180476816557,0.1772392790702366
AdaGrad,full,sparse,0.010278305077182696,0.023757422202036606
AdaGrad,full,zero,0.010278296558316465,0.023617916718361148
AdaGrad,mini-batch,random,0.012844666271778025,0.20284262008730738
AdaGrad,mini-batch,sparse,0.011656151440571262,0.02379650183447591
AdaGrad,mini-batch,zero,0.011648147807122821,0.02357163075344448
RMSProp,SGD,random,0.00038812224676747675,0.2791087676381991
RMSProp,SGD,sparse,0.007110630824852527,0.3716162698793863
RMSProp,SGD,zero,0.0001997528731562809,0.19649981993248788
RMSProp,full,random,0.021075009552463442,0.09931176525985254
RMSProp,full,sparse,0.02107500955246344,0.09931176525985254
RMSProp,full,zero,0.021075009552463452,0.10607908198282831
RMSProp,mini-batch,random,0.03121935223129437,0.11616202370770008
RMSProp,mini-batch,sparse,0.03121935224457864,0.116162023722138
RMSProp,mini-batch,zero,0.03121935224497563,0.11616202372256942
Adam,SGD,random,0.0081111252126361,0.28725429875315234
Adam,SGD,sparse,0.0007789209082672606,0.27639174815415246
Adam,SGD,zero,0.006187095288847895,0.41186175370991807
Adam,full,random,0.010278296558309622,0.023617811703326202
Adam,full,sparse,0.01027829655830962,0.023617811703326108
Adam,full,zero,0.01027829655830962,0.023617811703326094
Adam,mini-batch,random,0.013082742851642029,0.026530745970452924
Adam,mini-batch,sparse,0.012611412753917781,0.045426680529118864
Adam,mini-batch,zero,0.013156188257672969,0.030970683395005694
