seed,Optimizer,Batch Type,Init Type,Estimation Error,Weight Error
41,GD,SGD,random,0.03309258494053312,0.29443799275978594
41,GD,SGD,sparse,0.03067446856749051,0.389396999857642
41,GD,SGD,zero,0.032671693007323914,0.18460364667295978
41,GD,full,random,0.052106154176646755,0.32420166085054875
41,GD,full,sparse,0.057141276673108886,0.41253643394006906
41,GD,full,zero,0.04869645127367713,0.23140792275667588
41,GD,mini-batch,random,0.05990987382475965,0.3308589595244094
41,GD,mini-batch,sparse,0.06545499879286201,0.41928854759151885
41,GD,mini-batch,zero,0.05741368100653109,0.24825061166064605
41,AdaGrad,SGD,random,1.0936610630559922,1.4973218035869684
41,AdaGrad,SGD,sparse,0.22319025241827561,1.6299877056773644
41,AdaGrad,SGD,zero,0.165347040187761,0.5376787757403299
41,AdaGrad,full,random,0.6937351959216403,1.3646813911325624
41,AdaGrad,full,sparse,0.18389634431849813,1.4068063765186016
41,AdaGrad,full,zero,0.06674164490866552,0.40987655569301557
41,AdaGrad,mini-batch,random,0.7132376243215599,1.3691865672661294
41,AdaGrad,mini-batch,sparse,0.2027724915573047,1.4655215313037582
41,AdaGrad,mini-batch,zero,0.07145413298838282,0.4253427684577775
41,RMSProp,SGD,random,0.017811946773046927,0.21650353426589414
41,RMSProp,SGD,sparse,0.016288591261932113,0.258762984247533
41,RMSProp,SGD,zero,0.017141685482306424,0.10378126297056435
41,RMSProp,full,random,0.04378096122240017,0.19591551668127327
41,RMSProp,full,sparse,0.04378096122240018,0.19591551668127336
41,RMSProp,full,zero,0.04378096122240014,0.19591551668127322
41,RMSProp,mini-batch,random,0.05094613430876362,0.2093930152613217
41,RMSProp,mini-batch,sparse,0.05094594317448774,0.20938794560016227
41,RMSProp,mini-batch,zero,0.0509452918966866,0.2093691340055011
41,Adam,SGD,random,0.036821028189034294,0.3539412780074098
41,Adam,SGD,sparse,0.02981468613240779,0.34262986926724903
41,Adam,SGD,zero,0.03027152579558427,0.15286160156766773
41,Adam,full,random,0.047735720993953276,0.21599914469851555
41,Adam,full,sparse,0.04763824821707884,0.20492732203702127
41,Adam,full,zero,0.0476382516457972,0.20492733619042067
41,Adam,mini-batch,random,0.06577003240917817,0.25652906927137825
41,Adam,mini-batch,sparse,0.05255205303236924,0.2166471248940568
41,Adam,mini-batch,zero,0.05349909495860353,0.2181006665420996
42,GD,SGD,random,0.10391711373704199,0.4778419517790576
42,GD,SGD,sparse,0.15809828992536173,0.6048745182130337
42,GD,SGD,zero,0.0857510959912345,0.29925334916202295
42,GD,full,random,0.0972277742251756,0.5501163822580718
42,GD,full,sparse,0.10177471401568748,0.5883812818218612
42,GD,full,zero,0.08204543744286119,0.34102940491477085
42,GD,mini-batch,random,0.10319033042800353,0.5777838769223075
42,GD,mini-batch,sparse,0.10769152198705194,0.6095028631775219
42,GD,mini-batch,zero,0.08684440950175168,0.3657437460147601
42,AdaGrad,SGD,random,0.9570028994799529,2.0312083146044757
42,AdaGrad,SGD,sparse,0.47152010676687706,2.26571324761884
42,AdaGrad,SGD,zero,0.4053280054250208,0.782771699311001
42,AdaGrad,full,random,0.5829575175235465,1.941510859867317
42,AdaGrad,full,sparse,0.338037868683381,1.8780851272000785
42,AdaGrad,full,zero,0.15123682126080706,0.5885287198683595
42,AdaGrad,mini-batch,random,0.5948858075942672,1.947734036741975
42,AdaGrad,mini-batch,sparse,0.40052480328840223,2.008437747197836
42,AdaGrad,mini-batch,zero,0.167266102236793,0.6073120071400239
42,RMSProp,SGD,random,0.05358912322766667,0.4686803948808354
42,RMSProp,SGD,sparse,0.0939428641253208,0.5484179496331262
42,RMSProp,SGD,zero,0.028884058573444095,0.18379640694019334
42,RMSProp,full,random,0.08642201411073275,0.33170449468418306
42,RMSProp,full,sparse,0.08642201411073291,0.33170449468418334
42,RMSProp,full,zero,0.08642201411073283,0.33170449468418317
42,RMSProp,mini-batch,random,0.0738906293872547,0.34787461980710854
42,RMSProp,mini-batch,sparse,0.07387909754772742,0.34767199225079376
42,RMSProp,mini-batch,zero,0.07386296808764882,0.34749704966720596
42,Adam,SGD,random,0.15809309306959268,0.7504170496448305
42,Adam,SGD,sparse,0.15402555650411956,0.726322516663214
42,Adam,SGD,zero,0.12564035896508807,0.35399498033884286
42,Adam,full,random,0.0818753639357063,0.34611993066208196
42,Adam,full,sparse,0.08096756750594543,0.3238758464135121
42,Adam,full,zero,0.080967608239061,0.32387578882837287
42,Adam,mini-batch,random,0.07812165931636825,0.38510026470868586
42,Adam,mini-batch,sparse,0.07089299040326369,0.34595047040719973
42,Adam,mini-batch,zero,0.07062429592809254,0.3452765099413811
43,GD,SGD,random,0.05595200874539312,0.5885621213283145
43,GD,SGD,sparse,0.06385535652300807,0.7334164166084036
43,GD,SGD,zero,0.05537697872816206,0.38772097519589527
43,GD,full,random,0.06848458362144987,0.48954354398644506
43,GD,full,sparse,0.07885705305083818,0.6193046605867277
43,GD,full,zero,0.057253410486799744,0.3046863444597893
43,GD,mini-batch,random,0.06403318149597458,0.48185877637000374
43,GD,mini-batch,sparse,0.07389243714354235,0.6110721380759744
43,GD,mini-batch,zero,0.052382151511822454,0.2812525036962782
43,AdaGrad,SGD,random,1.3151476457174702,2.007655950650765
