seed,n_outliers,Oracle,Naive,ratio,ratio_clean_kept,ratio_outliers_left,ratio_stopped,readmit,readmit_clean_kept,readmit_outliers_left,readmit_stopped
41,99,0.011812060187315773,0.2049273361914745,0.017433459723222133,810,0,True,0.011471712364421448,895,0,True
42,103,0.004222521237836185,0.3238756963305116,0.003285173741339851,810,0,True,0.002158409663990191,896,0,True
43,107,0.029659442543091323,0.266871522813679,0.03083565165402467,810,0,True,0.032528368806975926,891,0,True
44,112,0.020945536768699927,0.2779681008889958,0.012242803802508693,810,0,True,0.02122061349009606,886,1,True
45,100,0.00956890904512889,0.26176550996231357,0.012470531974471646,810,0,True,0.009565083402663684,900,0,True
46,80,0.02806893884158344,0.19785494111903895,0.03493656843473253,810,0,True,0.0260669145037724,917,1,True
47,109,0.01852913917341831,0.21230280387419181,0.02408398767814377,810,0,True,0.023480096810061184,887,0,True
48,102,0.02099904969394527,0.18106028957538814,0.02782880112533086,810,0,True,0.024537332890437028,895,1,True
49,118,0.023727541573305463,0.3151414813350966,0.02112551496913949,810,0,True,0.02288336511107353,881,0,True
50,118,0.020179685833149715,0.27619787289982595,0.021911762040035695,810,0,True,0.02127722917350883,877,0,True
51,97,0.02003357830559678,0.25661125077387753,0.018981548403697975,810,0,True,0.021133043519622335,900,1,True
52,98,0.020019781181841348,0.16953630042015128,0.03084336070724787,809,1,True,0.02047929034565075,894,2,True
53,95,0.020292948682852897,0.21257751942363198,0.01672734332624007,810,0,True,0.019795581661151758,903,1,True
54,110,0.016211054922983113,0.4116696751128582,0.01102989007133476,810,0,True,0.01400695456950031,887,0,True
55,100,0.005018106515742206,0.2034172076561192,0.006909971876902062,810,0,True,0.007286196502728128,896,0,True
56,87,0.009158145964784349,0.2727307848089987,0.009355632709713842,900,0,True,0.00834277795915458,912,0,True
57,96,0.022957914070772426,0.31382773013150306,0.03775393863493629,809,1,True,0.02579499454904443,898,1,True
58,105,0.008581027507008994,0.29127856145571535,0.01745167453163864,810,0,True,0.007321681942519471,892,0,True
59,105,0.02345606276098457,0.33829099254805733,0.03431766472768402,810,0,True,0.025555665365512945,893,0,True
60,84,0.014778265955287128,0.37385564164070256,0.012880218883191201,810,0,True,0.01691738313691791,913,0,False
61,89,0.0075000055322685865,0.22185506861418422,0.017731910673931265,810,0,True,0.005111922241116121,909,0,True
62,100,0.011608241378301722,0.17729461104262959,0.014636770372743708,810,0,True,0.009375979968333645,897,0,True
63,90,0.024000397780330033,0.22285457179329887,0.029308675644991573,900,0,True,0.023983331082327145,910,0,True
64,89,0.005923089898070631,0.2162483691423599,0.012760616797627461,810,0,True,0.0047915931958554085,909,1,True
65,108,0.012605770756369344,0.13751387134332227,0.019087113972366742,810,0,True,0.01621367392376594,887,0,True
66,99,0.018857680972694732,0.1926902697066487,0.012207558265861175,810,0,True,0.01559736025421702,899,1,True
67,103,0.022117028665159303,0.3595425137884873,0.020814077492607053,810,0,True,0.020525549820084716,889,0,True
68,105,0.020431513481113748,0.24372671572460486,0.034537604995065745,810,0,True,0.022955001603506917,892,0,True
69,105,0.012211978533407906,0.22524755494515944,0.014681641895599421,810,0,True,0.012794391129897598,895,1,True
70,103,0.022843855331971648,0.19142918937519512,0.012878745892851646,809,1,True,0.019213254036032176,896,1,True
71,97,0.01752599914259034,0.23659091054074052,0.01609059239265434,810,0,True,0.018328914705875082,899,0,False
72,101,0.017267170454819826,0.3184594273543813,0.022954355515962088,810,0,True,0.016141962112081965,898,0,False
73,101,0.018752673459351898,0.288869279635973,0.026122868716615722,810,0,True,0.023078730528036648,894,0,True
74,102,0.009572538313995559,0.23869269116815942,0.010466640705912507,810,0,True,0.00755357959571008,894,0,True
75,84,0.010069056677875847,0.15160416434227403,0.013618677655421923,810,0,True,0.008474839825796561,914,0,True
76,92,0.013427059802161637,0.21598724623546628,0.017942220299435287,810,0,True,0.011658838706015045,907,0,True
77,90,0.012691717541309672,0.10391843033487504,0.011226271653501757,810,0,True,0.011330509085586695,908,3,True
78,82,0.021707616353639783,0.2000160813786579,0.032687411787799596,810,0,True,0.021724440124019605,918,0,True
79,93,0.017781458362135023,0.1745363581724082,0.017442331330005795,810,0,True,0.02083794808985906,904,1,True
80,90,0.014730655571706393,0.24385292898120503,0.014270938269265008,810,0,True,0.014587345512045892,907,0,True
81,109,0.019976134506232292,0.40571179810772195,0.017819769465275265,810,0,True,0.02034634730383763,889,1,True
82,100,0.017052733520791768,0.06203971382238095,0.031932103732043575,807,3,True,0.021940339974022022,899,8,True
83,98,0.01115294335916497,0.2988666727747052,0.017143432671817303,810,0,True,0.012402397558260529,896,0,True
84,93,0.025722560151032185,0.267656221100743,0.03158161888011595,810,0,True,0.025960453655110145,905,0,True
85,114,0.028713300357641722,0.20531956861665196,0.024239962661462024,809,1,True,0.025712636524577982,884,2,True
86,100,0.012909031803289906,0.22893396756199189,0.0074743256342328064,810,0,True,0.01749661628838456,896,0,True
