seed,Optimizer,Batch Type,Init Type,Estimation Error,Weight Error
141,GD,SGD,random,0.10586976754008369,0.5254885611127267
141,GD,SGD,sparse,0.1393387958726202,0.5545113657863944
141,GD,SGD,zero,0.10670310903144298,0.3580482996867832
141,GD,full,random,0.0629578080105267,0.3812118705585994
141,GD,full,sparse,0.0631872810132415,0.3835944577918626
141,GD,full,zero,0.05705733028142402,0.2650810817992086
141,GD,mini-batch,random,0.07922851367505636,0.4032931183347033
141,GD,mini-batch,sparse,0.07869018510247598,0.4046968306605633
141,GD,mini-batch,zero,0.07269783649106935,0.2879169853130571
141,AdaGrad,SGD,random,1.1135533082945797,1.7797302761891012
141,AdaGrad,SGD,sparse,0.19593572271193097,1.4744437019250214
141,AdaGrad,SGD,zero,0.23072842409833863,0.7004452073436465
141,AdaGrad,full,random,0.7057014537674781,1.6614288778336128
141,AdaGrad,full,sparse,0.14838893991938115,1.176960547450685
141,AdaGrad,full,zero,0.09575969213600742,0.576629277869618
141,AdaGrad,mini-batch,random,0.7174279014520949,1.6633995537773065
141,AdaGrad,mini-batch,sparse,0.1780029444728194,1.2860626160756685
141,AdaGrad,mini-batch,zero,0.1041529189749502,0.5842672903465644
141,RMSProp,SGD,random,0.06956475808346425,0.4266777554311698
141,RMSProp,SGD,sparse,0.08433317675322607,0.4118090335891057
141,RMSProp,SGD,zero,0.07089688428005386,0.2813903100710585
141,RMSProp,full,random,0.06024184925213382,0.2361114944151149
141,RMSProp,full,sparse,0.05131281784956258,0.2182785129036083
141,RMSProp,full,zero,0.060241849252133814,0.23611149441511486
141,RMSProp,mini-batch,random,0.08944885578625195,0.29293954354516194
141,RMSProp,mini-batch,sparse,0.08944824788292498,0.2929271182960757
141,RMSProp,mini-batch,zero,0.08944954568357412,0.29294889484954983
141,Adam,SGD,random,0.1170591682959184,0.6729105847389362
141,Adam,SGD,sparse,0.10838739597834521,0.508945076268667
141,Adam,SGD,zero,0.11171355453773689,0.37586434829414395
141,Adam,full,random,0.05613351857688038,0.24829792469675963
141,Adam,full,sparse,0.055667388074238655,0.22714989248088327
141,Adam,full,zero,0.05566738984277576,0.22714993269275124
141,Adam,mini-batch,random,0.07567463504250689,0.2903092462487685
141,Adam,mini-batch,sparse,0.080350777013164,0.28401377491626356
141,Adam,mini-batch,zero,0.08004048718480002,0.2823465289157434
142,GD,SGD,random,0.05133473576850381,0.4682098521809062
142,GD,SGD,sparse,0.04807041322357266,0.5189523871526098
142,GD,SGD,zero,0.06315091456465341,0.28662174362406845
142,GD,full,random,0.040906199293519484,0.4169715531331329
142,GD,full,sparse,0.04434683368921165,0.4820292807644978
142,GD,full,zero,0.031311688143550405,0.19353160647406795
142,GD,mini-batch,random,0.04144149378887734,0.4261161276020496
142,GD,mini-batch,sparse,0.04465981251043753,0.49075328599562323
142,GD,mini-batch,zero,0.031455438457534776,0.20031268126707866
142,AdaGrad,SGD,random,1.6875545792559095,1.7931289662927137
142,AdaGrad,SGD,sparse,0.2347846543455167,1.695210299492752
142,AdaGrad,SGD,zero,0.08006330950448265,0.31633836129971876
142,AdaGrad,full,random,1.14820300789591,1.6551957515189875
142,AdaGrad,full,sparse,0.2072785594856824,1.5737750026241577
142,AdaGrad,full,zero,0.03457379706113601,0.21517999499792684
142,AdaGrad,mini-batch,random,1.1625112236234743,1.658850045440898
142,AdaGrad,mini-batch,sparse,0.21230892371460117,1.5946049543580751
142,AdaGrad,mini-batch,zero,0.03540138587826194,0.22269079161646904
142,RMSProp,SGD,random,0.028492901727714168,0.29672979298866037
142,RMSProp,SGD,sparse,0.022534257073795118,0.27425648898614025
142,RMSProp,SGD,zero,0.04752668387853162,0.2721918433176541
142,RMSProp,full,random,0.03510882248205063,0.23290641140436819
142,RMSProp,full,sparse,0.02916160729166211,0.22032521148810166
142,RMSProp,full,zero,0.029161607291662114,0.22032521148810164
142,RMSProp,mini-batch,random,0.029385376940101963,0.24114890987538276
142,RMSProp,mini-batch,sparse,0.029385343117427038,0.24114806762254024
142,RMSProp,mini-batch,zero,0.029385329263458732,0.24114725135270285
142,Adam,SGD,random,0.06948874403860839,0.5692410240373285
142,Adam,SGD,sparse,0.04831422683603941,0.43277319540666426
142,Adam,SGD,zero,0.0768741320489279,0.34055832170575234
142,Adam,full,random,0.034109605610963066,0.2908357415456905
142,Adam,full,sparse,0.0320264372916832,0.22648564343831876
142,Adam,full,zero,0.032026409802158,0.2264824448592801
142,Adam,mini-batch,random,0.03352735438461603,0.308264579094617
142,Adam,mini-batch,sparse,0.030674155242197267,0.2507662042130131
142,Adam,mini-batch,zero,0.03137550700352986,0.25110991511217956
143,GD,SGD,random,0.03994970809253757,0.2576528660823981
143,GD,SGD,sparse,0.04585443942706152,0.367445184857827
143,GD,SGD,zero,0.05189762283435858,0.22462828844534719
143,GD,full,random,0.037112304442127805,0.2327819215394061
143,GD,full,sparse,0.0426069928071005,0.3467809644027633
143,GD,full,zero,0.03469510005417745,0.17082733607863537
143,GD,mini-batch,random,0.03494777197301345,0.23444814441016246
143,GD,mini-batch,sparse,0.040256879355285796,0.343297344310836
143,GD,mini-batch,zero,0.03168132378933355,0.15984867578131598
143,AdaGrad,SGD,random,1.1822448055508903,1.4646979836442449
143,AdaGrad,SGD,sparse,0.26301320988306687,1.7412223718793076
143,AdaGrad,SGD,zero,0.13038991697713553,0.5085700953850208
143,AdaGrad,full,random,0.8264424791014735,1.3418597718476752
143,AdaGrad,full,sparse,0.21008540453539595,1.5100112949614721
143,AdaGrad,full,zero,0.0498755769438903,0.387131681666944
143,AdaGrad,mini-batch,random,0.8329663744772947,1.3459332877224446
143,AdaGrad,mini-batch,sparse,0.22438870609282044,1.55634870206307
143,AdaGrad,mini-batch,zero,0.05262330756306921,0.3997357869091747
143,RMSProp,SGD,random,0.023430707243300524,0.16386114386291636
143,RMSProp,SGD,sparse,0.027496266816275396,0.17866261525299454
143,RMSProp,SGD,zero,0.032483156922914334,0.1743485737478617
143,RMSProp,full,random,0.03790892593054645,0.1727547662968563
143,RMSProp,full,sparse,0.03790892593054647,0.17275476629685632
143,RMSProp,full,zero,0.03145031239679216,0.15444455560074904
143,RMSProp,mini-batch,random,0.03050328818762202,0.18585148281569538
143,RMSProp,mini-batch,sparse,0.030503249640976247,0.18585005095711105
143,RMSProp,mini-batch,zero,0.03050332372757057,0.18585372212913942
143,Adam,SGD,random,0.05026433672075031,0.3035882673541251
143,Adam,SGD,sparse,0.05129308386611397,0.3086310775204568
143,Adam,SGD,zero,0.03880757534567152,0.18660254826483613
143,Adam,full,random,0.03439026019890293,0.15888761462672688
143,Adam,full,sparse,0.034571255024761535,0.1635497628095922
143,Adam,full,zero,0.03457127640779412,0.16355019154810632
143,Adam,mini-batch,random,0.02959765902508767,0.16016383007239973
143,Adam,mini-batch,sparse,0.02704787737400381,0.17723211496248273
143,Adam,mini-batch,zero,0.027211518019233345,0.17468006203534006
144,GD,SGD,random,0.09474295399670475,0.5659739091842964
144,GD,SGD,sparse,0.10212397833576668,0.6265200113094838
144,GD,SGD,zero,0.1004927554004743,0.3843690486781082
144,GD,full,random,0.10813330848165567,0.48716699865312135
