seed,optimizer,batch,init,lr,weight_error,dist_to_star
0,GD,full,random,0.01,0.32330436535902557,0.3102148304765425
0,GD,full,zero,0.01,0.05499856572191387,0.05843241894420459
0,GD,full,sparse,0.01,0.3549508335183584,0.3446874660745355
0,GD,mini-batch,random,0.01,0.32778237154852463,0.31477434372646673
0,GD,mini-batch,zero,0.01,0.056427408555905466,0.05944187838094715
0,GD,mini-batch,sparse,0.01,0.35705229430350055,0.34658298990737046
0,GD,SGD,random,0.01,0.29284615355387456,0.28145173284137753
0,GD,SGD,zero,0.01,0.06312170941765875,0.06989954954168966
0,GD,SGD,sparse,0.01,0.3426223366571869,0.3329284149797061
0,AdaGrad,full,random,0.01,1.8031983720421916,1.794504050234074
0,AdaGrad,full,zero,0.01,0.2589037547869603,0.26682631843942395
0,AdaGrad,full,sparse,0.01,1.551530714610793,1.5422290713457565
0,AdaGrad,mini-batch,random,0.01,1.8097448460546246,1.8011310815830655
0,AdaGrad,mini-batch,zero,0.01,0.2604252415952237,0.26841745161605773
0,AdaGrad,mini-batch,sparse,0.01,1.5755158967186496,1.5665500489342923
0,AdaGrad,SGD,random,0.01,1.9231296805479736,1.9153667900874296
0,AdaGrad,SGD,zero,0.01,0.2866635566325009,0.29407864761131625
0,AdaGrad,SGD,sparse,0.01,1.7653432413216974,1.7572900222037113
0,RMSProp,full,random,0.01,0.026968463613767295,0.00999999073510003
0,RMSProp,full,zero,0.01,0.026968463613767247,0.009999990735100037
0,RMSProp,full,sparse,0.01,0.024254971841348616,0.009999990735099698
0,RMSProp,mini-batch,random,0.01,0.02838477389981246,0.023741480046603303
0,RMSProp,mini-batch,zero,0.01,0.028384773899812407,0.0237414800466033
0,RMSProp,mini-batch,sparse,0.01,0.02838477389981246,0.023741480046603303
0,RMSProp,SGD,random,0.01,0.06629127440394113,0.061192669897244735
0,RMSProp,SGD,zero,0.01,0.06357082515754715,0.05840662091732995
0,RMSProp,SGD,sparse,0.01,0.0760427357296109,0.07073406039965148
0,Adam,full,random,0.01,0.09606279623044363,0.07913486399485765
0,Adam,full,zero,0.01,0.0236178128106128,2.6429028053532074e-09
0,Adam,full,sparse,0.01,0.023618028474460106,4.770894391570112e-07
0,Adam,mini-batch,random,0.01,0.10326903359987212,0.0867319702452608
0,Adam,mini-batch,zero,0.01,0.023009601389703614,0.00842252307544196
0,Adam,mini-batch,sparse,0.01,0.02233584254024287,0.008480796243018476
0,Adam,SGD,random,0.01,0.25674985465735317,0.24315871017161342
0,Adam,SGD,zero,0.01,0.04730530404884672,0.04873459382610666
0,Adam,SGD,sparse,0.01,0.06612885746911415,0.05504123471783523
0,GD,full,random,0.1,0.023617908248303954,1.6438601707905545e-07
0,GD,full,zero,0.1,0.023617814835588558,2.0097817490094455e-08
0,GD,full,sparse,0.1,0.023617887654502515,1.0974002087123057e-07
0,GD,mini-batch,random,0.1,0.023310517777258084,0.008272923056680434
0,GD,mini-batch,zero,0.1,0.023310418555279645,0.008272893564896081
0,GD,mini-batch,sparse,0.1,0.02331049342999902,0.008272890359084285
0,GD,SGD,random,0.1,0.09509594001209484,0.0908505398479806
0,GD,SGD,zero,0.1,0.09684833182964739,0.09474119969573509
0,GD,SGD,sparse,0.1,0.11320661401239551,0.10454056860843451
0,AdaGrad,full,random,0.1,0.1772392790702366,0.16149916929994568
0,AdaGrad,full,zero,0.1,0.023617916718361148,2.8909343469752583e-07
0,AdaGrad,full,sparse,0.1,0.023757422202036606,0.000308897973808287
0,AdaGrad,mini-batch,random,0.1,0.20284262008730738,0.18765021870711088
0,AdaGrad,mini-batch,zero,0.1,0.02357163075344448,0.006986806514601229
0,AdaGrad,mini-batch,sparse,0.1,0.02379650183447591,0.007136511727623972
0,AdaGrad,SGD,random,0.1,0.5018108262482797,0.4895618918797163
0,AdaGrad,SGD,zero,0.1,0.03876302714664409,0.038200824443839224
0,AdaGrad,SGD,sparse,0.1,0.2048532039442005,0.1945080263566083
0,RMSProp,full,random,0.1,0.09931176525985254,0.09999999073509969
0,RMSProp,full,zero,0.1,0.10607908198282831,0.0999999907351001
0,RMSProp,full,sparse,0.1,0.09931176525985254,0.09999999073509969
0,RMSProp,mini-batch,random,0.1,0.11616202370770008,0.11069440773945674
0,RMSProp,mini-batch,zero,0.1,0.11616202372256942,0.11069440774712597
0,RMSProp,mini-batch,sparse,0.1,0.116162023722138,0.11069440774690349
0,RMSProp,SGD,random,0.1,0.2791087676381991,0.274042989297786
0,RMSProp,SGD,zero,0.1,0.19649981993248788,0.19500400636889695
0,RMSProp,SGD,sparse,0.1,0.3716162698793863,0.3548499783295441
0,Adam,full,random,0.1,0.023617811703326202,2.5476231888929306e-16
0,Adam,full,zero,0.1,0.023617811703326094,2.486410087150353e-16
0,Adam,full,sparse,0.1,0.023617811703326108,2.2929868617541516e-16
0,Adam,mini-batch,random,0.1,0.026530745970452924,0.025202038737747078
0,Adam,mini-batch,zero,0.1,0.030970683395005694,0.0469573172084844
0,Adam,mini-batch,sparse,0.1,0.045426680529118864,0.05785865042118091
0,Adam,SGD,random,0.1,0.28725429875315234,0.2796722085920088
0,Adam,SGD,zero,0.1,0.41186175370991807,0.4009447413922117
0,Adam,SGD,sparse,0.1,0.27639174815415246,0.2624637498582732
1,GD,full,random,0.01,0.36654988382395404,0.376739035593072
1,GD,full,zero,0.01,0.08821073345240427,0.09779630628088497
1,GD,full,sparse,0.01,0.4482220749612551,0.45870191763482515
