optimizer,batch,init,lr,we_mean,we_sd,dist_max,reaches_cf
GD,full,random,0.01,0.2797092246076274,0.05065382487056091,0.376739035593072,False
GD,full,zero,0.01,0.0838261400419276,0.029822939049109383,0.13284043624747596,False
GD,full,sparse,0.01,0.36820168312354323,0.05936870010006795,0.45870191763482515,False
GD,mini-batch,random,0.01,0.2797841051321778,0.049572974864876336,0.3666446457990598,False
GD,mini-batch,zero,0.01,0.08425037426445933,0.029637555038686245,0.13530141797810313,False
GD,mini-batch,sparse,0.01,0.36968387614795467,0.06017525232864404,0.46603651471419616,False
GD,SGD,random,0.01,0.28534206557068015,0.06298886144721663,0.4169108218785011,False
GD,SGD,zero,0.01,0.0865140058089075,0.032378964074831686,0.15939675351633248,False
GD,SGD,sparse,0.01,0.3716219058942196,0.06654937158613394,0.4813409629988164,False
AdaGrad,full,random,0.01,1.647686340763262,0.2868837022630628,2.1496091308182783,False
AdaGrad,full,zero,0.01,0.4319465495691632,0.16632986071945782,0.6699265489456335,False
AdaGrad,full,sparse,0.01,1.4021919280139277,0.35549783241071403,1.8978818373690682,False
AdaGrad,mini-batch,random,0.01,1.6518761107416395,0.2887421301499089,2.1540826090564327,False
AdaGrad,mini-batch,zero,0.01,0.43454862928626997,0.16738638226905078,0.6737253294498725,False
AdaGrad,mini-batch,sparse,0.01,1.4637038118363104,0.33924609930336086,1.943689436907338,False
AdaGrad,SGD,random,0.01,1.7534583334222404,0.2972315149285272,2.2627406497204765,False
AdaGrad,SGD,zero,0.01,0.48906043541780564,0.1882222350270142,0.759016642867912,False
AdaGrad,SGD,sparse,0.01,1.75510322631007,0.28497408091139115,2.1793619174301813,False
RMSProp,full,random,0.01,0.019948512662196938,0.007487394039206762,0.009999990964340762,False
RMSProp,full,zero,0.01,0.02075723124462702,0.0074143711534477635,0.009999990964340776,False
RMSProp,full,sparse,0.01,0.01981877411310729,0.00807157857026653,0.009999990964339832,False
RMSProp,mini-batch,random,0.01,0.02992419794890137,0.012462874973928261,0.05369201295378528,False
RMSProp,mini-batch,zero,0.01,0.029924197948901377,0.012462874973928268,0.05369201295378537,False
RMSProp,mini-batch,sparse,0.01,0.029924197948901377,0.012462874973928263,0.05369201295378537,False
RMSProp,SGD,random,0.01,0.056851800523596285,0.022566531229162162,0.11535546875248566,False
RMSProp,SGD,zero,0.01,0.06006140017261826,0.019745311146176465,0.09611537822143734,False
RMSProp,SGD,sparse,0.01,0.05289036823967632,0.02142962773214656,0.10319430153785783,False
Adam,full,random,0.01,0.05642842295148702,0.03364990194070708,0.1326528983458528,False
Adam,full,zero,0.01,0.016925100597157273,0.008679029019743049,0.002438442348238362,False
Adam,full,sparse,0.01,0.01683114131848046,0.008766417202916366,4.723168191435812e-05,True
Adam,mini-batch,random,0.01,0.062023019474145694,0.03666711888840031,0.15199475909738666,False
Adam,mini-batch,zero,0.01,0.020369470458590784,0.0076631893357910945,0.01789538574020573,False
Adam,mini-batch,sparse,0.01,0.022848061821809394,0.008494107718011599,0.031506230244301436,False
Adam,SGD,random,0.01,0.20468109469874635,0.10990566261022028,0.430600132045918,False
Adam,SGD,zero,0.01,0.0479481129871452,0.020982215309836804,0.09076319490453974,False
Adam,SGD,sparse,0.01,0.07563150788474717,0.039692348967346934,0.1708477448243067,False
GD,full,random,0.1,0.016830361153972063,0.008768560667460115,3.8315543618757244e-07,True
GD,full,zero,0.1,0.016830353872225912,0.008768562682326144,1.0368667837578943e-07,True
GD,full,sparse,0.1,0.01683038975384021,0.008768539814416602,4.6717725052575706e-07,True
GD,mini-batch,random,0.1,0.020617551671718453,0.0073395191769611515,0.020185200159410367,False
GD,mini-batch,zero,0.1,0.020617553412491222,0.0073395170335934104,0.020185297776253153,False
GD,mini-batch,sparse,0.1,0.02061758680757431,0.007339477872191246,0.02018514708620636,False
GD,SGD,random,0.1,0.06818439070723196,0.030507547752560513,0.13377103763649945,False
GD,SGD,zero,0.1,0.07229206923186877,0.02484314232432643,0.12301477919268408,False
GD,SGD,sparse,0.1,0.06519841072303449,0.027103794744133786,0.11430330502028187,False
AdaGrad,full,random,0.1,0.11194115549144341,0.06931109570304314,0.24206918385499734,False
AdaGrad,full,zero,0.1,0.017114017258543265,0.008617284045498348,0.006580402608124617,False
AdaGrad,full,sparse,0.1,0.01695838824745954,0.008503712871031618,0.0029735259083046237,False
AdaGrad,mini-batch,random,0.1,0.1239568057884678,0.07768314049952611,0.2899908928682627,False
AdaGrad,mini-batch,zero,0.1,0.019424183815220715,0.007709581339346356,0.01766193264344452,False
AdaGrad,mini-batch,sparse,0.1,0.020340642596704542,0.007394720019687057,0.01706264036563771,False
AdaGrad,SGD,random,0.1,0.3966919786332359,0.19305267703866316,0.7495032111622334,False
AdaGrad,SGD,zero,0.1,0.03668664618152097,0.012765366924095531,0.05199761436079269,False
AdaGrad,SGD,sparse,0.1,0.2586302734929812,0.14484050626716197,0.5528032267568739,False
RMSProp,full,random,0.1,0.10103670913065202,0.003772212921518567,0.09999999096433981,False
RMSProp,full,zero,0.1,0.10061717673505952,0.0033692648927728572,0.09999999096434078,False
RMSProp,full,sparse,0.1,0.10234555447697609,0.0033195885369069053,0.09999999096433981,False
RMSProp,mini-batch,random,0.1,0.10536717463572258,0.04736683885351186,0.195159347245076,False
RMSProp,mini-batch,zero,0.1,0.10536717465258505,0.0473668388451483,0.19515934724507522,False
RMSProp,mini-batch,sparse,0.1,0.10536717465142946,0.04736683884574312,0.19515934724507025,False
RMSProp,SGD,random,0.1,0.2241708611146064,0.06193354804060352,0.3169560519490943,False
RMSProp,SGD,zero,0.1,0.2055680964929884,0.06917092095209104,0.3307549482653281,False
RMSProp,SGD,sparse,0.1,0.2475315519355883,0.06452010461498178,0.3548499783295441,False
Adam,full,random,0.1,0.01683036085430877,0.00876856529693462,2.5590881545766174e-15,True
Adam,full,zero,0.1,0.016830360854308796,0.00876856529693463,2.5354987979418553e-15,True
Adam,full,sparse,0.1,0.016829684597790447,0.008768682799350063,0.00013363487023838893,False
Adam,mini-batch,random,0.1,0.038669413239267605,0.01647483883157166,0.07321531475005666,False
Adam,mini-batch,zero,0.1,0.05103180936660808,0.02213412968972581,0.10428488730945629,False
Adam,mini-batch,sparse,0.1,0.0568315638312607,0.022052801429717092,0.1019340431465673,False
Adam,SGD,random,0.1,0.18787472085113138,0.09636445902513056,0.5042094723469576,False
Adam,SGD,zero,0.1,0.20395717724700857,0.08654780818252791,0.4009447413922117,False
Adam,SGD,sparse,0.1,0.17765643580007393,0.11133402644287879,0.5934758785741984,False
