seed,n_outliers,Oracle,Naive,ours_lr0.01,ours_lr0.01_mse,ours_lr0.01_kept,ours_lr0.01_outliers_left,ours_lr0.01_epochs,ours_lr0.1,ours_lr0.1_mse,ours_lr0.1_kept,ours_lr0.1_outliers_left,ours_lr0.1_epochs,ours_lr0.5,ours_lr0.5_mse,ours_lr0.5_kept,ours_lr0.5_outliers_left,ours_lr0.5_epochs,v1_lr0.01,v1_lr0.01_mse,v1_lr0.1,v1_lr0.1_mse,v1_lr0.5,v1_lr0.5_mse,Oracle_mse,Naive_mse
1,103,0.035043396200590764,0.18370258848476348,0.05031281490035237,0.010216923461540241,810,0,3243,0.0503398023912385,0.01021703163191198,810,0,619,0.050340128714335845,0.010217016328788318,810,0,590,0.20800275156276998,0.01357162683430629,0.05882196618567279,0.010239298372663866,0.05881920843090469,0.01023924846298262,0.010186682601392955,0.03704864811870021
2,105,0.011289710461453054,0.2482839930962382,0.013325646009969626,0.010464784268131681,810,0,2978,0.013415597973663344,0.01046498743003258,810,0,589,0.013369038180902307,0.01046487955530109,810,0,608,0.4367363352137585,0.026400392187938302,0.008472643985381379,0.010456810571024877,0.008480225053480183,0.010456965433819146,0.010441722724993958,0.06416735000477895
3,105,0.011506935332233912,0.4254975966538167,0.021626068399016728,0.010193547608176734,810,0,3072,0.02156669215993052,0.010193433200550599,810,0,608,0.02157771589736415,0.010193455236045392,810,0,590,1.0813267175259456,0.11149251460043562,0.03282058395173636,0.010225410746040723,0.03282568055067257,0.010225402863422247,0.010182178734056196,0.1425538712868146
4,108,0.02737253789791194,0.22894181935989413,0.031147263194242287,0.009906933336020454,810,0,2464,0.03112532053613398,0.009906908233091295,810,0,578,0.031158318513153038,0.009906943370129314,810,0,576,0.8091244128851982,0.06291583034868008,0.041671502946065954,0.009925345850366342,0.04167546036809483,0.009925355480749153,0.009868488866620208,0.06480130140850573
5,119,0.013845341829925544,0.20619033785846788,0.011500846620764007,0.010782447160165945,810,0,3454,0.011512274983702907,0.010782408258871895,810,0,619,0.01153968043707264,0.010782446245224852,810,0,617,0.06581785756100038,0.011112851045773343,0.018520663770048428,0.010798598381052007,0.0185094173845622,0.010798609328761468,0.010769873646394874,0.03481877376949906
6,97,0.020566573628002686,0.1453453402607723,0.014402394096505788,0.00917333434544584,810,0,3203,0.01448239058733369,0.009173241335291772,810,0,590,0.014427178448811884,0.009173314508203745,810,0,596,0.19485025772132533,0.011732604143209811,0.019812822827831113,0.009182558557193769,0.019803561141563546,0.009182596007881112,0.009154087842529047,0.02672578807981807
7,101,0.0338817984808158,0.3334421788675098,0.035994080862714835,0.009858476552275532,810,0,3030,0.0360421629398925,0.009858347159120843,810,0,620,0.036032652631483524,0.009858415050241072,810,0,594,1.1549401850390588,0.12105865737563555,0.032974870958729016,0.009910788090958191,0.03299203574722064,0.009911159940860382,0.00984034183626489,0.10361035240425301
8,89,0.009431332006626596,0.18051492488781012,0.01375396369398562,0.010169837190858661,810,0,2883,0.013751231286253794,0.010169772277656877,810,0,604,0.013759768324815258,0.010169777492124414,810,0,590,0.20711859099273416,0.013838259223286667,0.025479406239971338,0.01020349188054392,0.02541925039138635,0.01020325617046168,0.010152946362544291,0.037704037825860584
9,105,0.029397504113958774,0.35685677617050204,0.029642596991627933,0.010301312066168787,810,0,2801,0.02970921023597211,0.010301273654236357,810,0,583,0.02968342288331999,0.010301314818901399,810,0,620,0.9439953067939227,0.08519389193208812,0.021503721836671427,0.010312105953150408,0.021550832743341478,0.010312046013544997,0.010293974234711938,0.07578660158381283
10,97,0.017612959317624473,0.21994099295072084,0.030173862007325535,0.010486226551000217,810,0,3172,0.030099484759715012,0.010486086197266547,810,0,573,0.030134785134492584,0.010486169069784914,810,0,584,0.23832774481520197,0.01586449369339707,0.052983796072420083,0.010590444857160748,0.052985977341292886,0.01059036873395623,0.010472675596431759,0.03946629257427256
11,102,0.012938749838263921,0.28484807563847486,0.013252617811377359,0.010586076165837883,810,0,3011,0.013266999233738884,0.01058605770621087,810,0,608,0.013273090261110704,0.010586142163622973,810,0,585,0.6678895318860327,0.04820501760006075,0.01965383411322813,0.010591014929060694,0.01967448547672821,0.010591109014357072,0.01055840766242827,0.06859367052387183
12,94,0.0029656882677080694,0.2669488430849903,0.016800895917274898,0.009739791271069182,810,0,2658,0.016785421729000966,0.009739753803406711,810,0,583,0.016749399306805808,0.009739667569847186,810,0,585,0.8635419114152554,0.07285184000685266,0.022056437588468078,0.009769588737503386,0.022029939165823947,0.00976933321655689,0.009720798071211808,0.06739880221466611
13,95,0.0068553384458253245,0.09874510662896545,0.005809524807237304,0.009754321984755043,810,0,3529,0.005775451812255934,0.009754292638258236,810,0,622,0.005788260843032882,0.009754330883216403,810,0,603,0.12761766176452288,0.011123220117469496,0.011018046541056906,0.00976056567584275,0.010943325281542102,0.00976041729273391,0.009745691410247932,0.019068455768747047
14,102,0.026090782117172282,0.483153921822858,0.019868259597201534,0.009845747573938284,810,0,2761,0.01983151485678389,0.009845655083836669,810,0,602,0.019835949600920236,0.009845670340099576,810,0,606,0.8286249432592507,0.06925833087890187,0.022553298282766684,0.00985881767139376,0.022556317368760813,0.009858934389160528,0.009833818523912399,0.09246089959438794
15,104,0.03244792427907131,0.27379758319962966,0.03334384289358164,0.009808283154319636,810,0,2810,0.03329902138962218,0.009808183308011384,810,0,590,0.03331419040236719,0.009808178720483745,810,0,596,0.3140749786413016,0.01756748324508737,0.0324122728041713,0.009806836195977617,0.03241636296124018,0.009806871091784661,0.009802035971485573,0.05485030663776491
16,107,0.022522538349410166,0.2798922336943246,0.02280944556138403,0.009220389152024317,810,0,3024,0.022779603112903946,0.009220341328735856,810,0,597,0.022790999156635478,0.00922035812842681,810,0,569,0.41997665988366,0.024440228020156687,0.03191607613735574,0.009287921191252437,0.03191266588488424,0.009287832834485902,0.00921196613030048,0.03835944410580651
17,82,0.016635029615987625,0.10983112519177096,0.02565652843788148,0.01009653526536314,810,0,3191,0.025652571057978153,0.010096515330376333,810,0,581,0.02561424640040384,0.010096451885210609,810,0,597,0.1914958020266899,0.013307091290779276,0.03347906105323467,0.010111231795519463,0.03348901821915306,0.010111270626428779,0.010086253776927605,0.021879245850882554
18,100,0.015612081056482817,0.15929401982621388,0.016222251226815188,0.009538781785495493,810,0,2803,0.016238799858396092,0.009538798165608856,810,0,575,0.016300721028349636,0.009538885496922408,810,0,696,0.30443756713488634,0.01716845659063721,0.019702451165791342,0.009543603003585319,0.022788791293774,0.009570774806877859,0.009525459823558704,0.03369371536913485
19,109,0.013385855155923955,0.18214671415221384,0.021850298281425047,0.009752921073195548,810,0,3545,0.021850160626257754,0.009752999586859552,810,0,630,0.021837887339159076,0.009752929529353563,810,0,575,0.12294506036102228,0.011072683117987666,0.029196281752759446,0.009761587315618039,0.029166628065875652,0.009761505641362586,0.00973898098476165,0.029051226693917336
20,93,0.030175963770454475,0.28450284379064034,0.019969780231092207,0.010118777606586285,810,1,3011,0.02003969858061393,0.010118656999411776,810,1,583,0.020049058253721257,0.010118633763370702,810,1,573,0.07423878510006031,0.01028014459358454,0.013832693537675344,0.010177177052647986,0.013841634092912423,0.010177145500688878,0.01010991959929929,0.034828553869972044
