Optimizer,Batch Type,Init Type,Estimation Error,Weight Error
GD,SGD,random,0.0560935508572959,0.30922053928227833
GD,SGD,sparse,0.08416230579107442,0.3630386295255389
GD,SGD,zero,0.06832951903423358,0.25094945402838303
GD,full,random,0.0343007179637733,0.33341321938360363
GD,full,sparse,0.03652537963391059,0.36007911232168166
GD,full,zero,0.027757222620981608,0.14055606438876056
GD,mini-batch,random,0.03629187631237703,0.3346238765911219
GD,mini-batch,sparse,0.03820580052562443,0.35687179482486514
GD,mini-batch,zero,0.030534626755946963,0.15081669362843744
AdaGrad,SGD,random,1.6231031318555025,1.9351408996753026
AdaGrad,SGD,sparse,0.2888970918524102,1.8054059443655044
AdaGrad,SGD,zero,0.07125928539377424,0.3644538614854906
AdaGrad,full,random,1.107758732384112,1.7988326699528174
AdaGrad,full,sparse,0.24806405683342075,1.6530588838540001
AdaGrad,full,zero,0.03364192673925091,0.265534640024105
AdaGrad,mini-batch,random,1.1297204049179388,1.8049007763644047
AdaGrad,mini-batch,sparse,0.25602729282761094,1.6744937985025419
AdaGrad,mini-batch,zero,0.036659531407485,0.28144132637367214
RMSProp,SGD,random,0.03473087579541255,0.2085735320674603
RMSProp,SGD,sparse,0.056872058692026634,0.2432991144507031
RMSProp,SGD,zero,0.04311584747792408,0.202949745856245
RMSProp,full,random,0.03024386959855407,0.1411660468166097
RMSProp,full,sparse,0.024803038492220694,0.12131641680716787
RMSProp,full,zero,0.03024386959855409,0.1411660468166098
RMSProp,mini-batch,random,0.029869479164536247,0.1456308293709156
RMSProp,mini-batch,sparse,0.029869494738329658,0.14563110573627444
RMSProp,mini-batch,zero,0.02986950251356988,0.14563128949680448
Adam,SGD,random,0.08727069081154999,0.4459960012067573
Adam,SGD,sparse,0.10537672500844483,0.3438416986395524
Adam,SGD,zero,0.11706478848192772,0.322247169915161
Adam,full,random,0.02775559292297955,0.16410093796825118
Adam,full,sparse,0.02741575818622938,0.13123438967149087
Adam,full,zero,0.027415867696413267,0.13123552516631373
Adam,mini-batch,random,0.03306541054164057,0.18016649802129434
Adam,mini-batch,sparse,0.04819143709134311,0.19290645502892703
Adam,mini-batch,zero,0.04903492018174453,0.19597139377958284
