seed,optimizer,batch,init,lr,weight_error,dist_to_star
100,GD,full,random,0.01,0.3384002887679422,0.2560120560405538
100,GD,full,zero,0.01,0.24963396800101048,0.07164941554228639
100,GD,full,sparse,0.01,0.5333629455993767,0.41008247063199627
100,GD,mini-batch,random,0.01,0.3574424687518269,0.27397438310081296
100,GD,mini-batch,zero,0.01,0.256584676696466,0.07452954971428497
100,GD,mini-batch,sparse,0.01,0.541035098400942,0.4187206246112202
100,GD,SGD,random,0.01,0.34136759701482255,0.2601586465130525
100,GD,SGD,zero,0.01,0.20559641544173068,0.0542869479832906
100,GD,SGD,sparse,0.01,0.5428304093219077,0.42293945343496414
100,AdaGrad,full,random,0.01,1.6568608154711637,1.7147840672613108
100,AdaGrad,full,zero,0.01,0.43980878267619616,0.2778398233078077
100,AdaGrad,full,sparse,0.01,1.972344584752242,1.8690614807440407
100,AdaGrad,mini-batch,random,0.01,1.6587993670065315,1.7169149597790057
100,AdaGrad,mini-batch,zero,0.01,0.46463330692183225,0.30235683631719124
100,AdaGrad,mini-batch,sparse,0.01,1.9858969836591145,1.8819672986442122
100,AdaGrad,SGD,random,0.01,1.7943795294583569,1.8618763425779554
100,AdaGrad,SGD,zero,0.01,0.5562653910875865,0.3955498444453148
100,AdaGrad,SGD,sparse,0.01,2.078680097660735,1.9818560979601416
100,RMSProp,full,random,0.01,0.19938527807971088,0.009999990619119837
100,RMSProp,full,zero,0.01,0.18643841627426141,0.00999999061912043
100,RMSProp,full,sparse,0.01,0.18643841627426141,0.00999999061912043
100,RMSProp,mini-batch,random,0.01,0.21301882215193865,0.02710244594032957
100,RMSProp,mini-batch,zero,0.01,0.21301876909689346,0.02710235969773196
100,RMSProp,mini-batch,sparse,0.01,0.21301885606686785,0.027102451217972785
100,RMSProp,SGD,random,0.01,0.11736920019922827,0.14639877892439518
100,RMSProp,SGD,zero,0.01,0.07670863814160933,0.14956948136845574
100,RMSProp,SGD,sparse,0.01,0.1521050781950149,0.1192175454812289
100,Adam,full,random,0.01,0.25357890432685415,0.1276566366227017
100,Adam,full,zero,0.01,0.19276121569575888,4.992267739873942e-16
100,Adam,full,sparse,0.01,0.19284817001882765,0.00024088020746035666
100,Adam,mini-batch,random,0.01,0.27184680462610017,0.1457835649446632
100,Adam,mini-batch,zero,0.01,0.21464497240756344,0.036569599732668774
100,Adam,mini-batch,sparse,0.01,0.20567258511640638,0.03080688264405235
100,Adam,SGD,random,0.01,0.4014812642333331,0.3347789823386346
100,Adam,SGD,zero,0.01,0.1306452298813618,0.07739428368942641
100,Adam,SGD,sparse,0.01,0.3534545766509314,0.22969381320028145
100,GD,full,random,0.1,0.19276124955756374,1.3693438183097263e-07
100,GD,full,zero,0.1,0.1927612195431393,5.706509424134442e-09
100,GD,full,sparse,0.1,0.19276128636564707,2.3728677432145424e-07
100,GD,mini-batch,random,0.1,0.21545596693596766,0.030034826312253807
100,GD,mini-batch,zero,0.1,0.2154559242486305,0.030034719939187854
100,GD,mini-batch,sparse,0.1,0.21545599618172495,0.030034866458078048
100,GD,SGD,random,0.1,0.24057583408241096,0.277344651465001
100,GD,SGD,zero,0.1,0.1327345116978868,0.2506933894723625
100,GD,SGD,sparse,0.1,0.10031137720323663,0.21735736349834156
100,AdaGrad,full,random,0.1,0.33478730572962956,0.23598107091002135
100,AdaGrad,full,zero,0.1,0.1927612156964643,9.48583951562333e-13
100,AdaGrad,full,sparse,0.1,0.19492428869561798,0.005673997252515974
100,AdaGrad,mini-batch,random,0.1,0.349179275998818,0.2508053540226712
100,AdaGrad,mini-batch,zero,0.1,0.20873442845321363,0.023530797146455777
100,AdaGrad,mini-batch,sparse,0.1,0.21685296446914742,0.03631082696817942
100,AdaGrad,SGD,random,0.1,0.5845081465652202,0.5364821303907464
100,AdaGrad,SGD,zero,0.1,0.18333818274803132,0.035588112151109415
100,AdaGrad,SGD,sparse,0.1,0.6819480703804098,0.5636204602077077
100,RMSProp,full,random,0.1,0.26857575491561,0.09999999061911984
100,RMSProp,full,zero,0.1,0.26857575491561,0.09999999061911984
100,RMSProp,full,sparse,0.1,0.1489323090271954,0.09999999061912043
100,RMSProp,mini-batch,random,0.1,0.21048963251857916,0.052943309491664675
100,RMSProp,mini-batch,zero,0.1,0.21048963251857916,0.052943309491664675
100,RMSProp,mini-batch,sparse,0.1,0.21048963251857916,0.052943309491664675
100,RMSProp,SGD,random,0.1,0.3483739004182415,0.4102836836207646
100,RMSProp,SGD,zero,0.1,0.20637193380386362,0.3764840650405347
100,RMSProp,SGD,sparse,0.1,0.12184741495919496,0.2400091148596406
100,Adam,full,random,0.1,0.1927612156957583,4.980559976921029e-16
100,Adam,full,zero,0.1,0.1927612156957585,3.332294980281256e-16
100,Adam,full,sparse,0.1,0.1927612156957584,4.1731548643827706e-16
100,Adam,mini-batch,random,0.1,0.2162531314621231,0.05000009780065649
100,Adam,mini-batch,zero,0.1,0.22928451090981944,0.08589998828697228
100,Adam,mini-batch,sparse,0.1,0.2379795888158128,0.09572981155509676
100,Adam,SGD,random,0.1,0.43609198987898334,0.41955206396713823
100,Adam,SGD,zero,0.1,0.1604054570611752,0.28114111149496
100,Adam,SGD,sparse,0.1,0.23222737658673437,0.3384250600563999
101,GD,full,random,0.01,0.2584634124379037,0.2912495698425849
101,GD,full,zero,0.01,0.10932958084076681,0.023441982465144597
101,GD,full,sparse,0.01,0.34121715358511273,0.3672700032383217
101,GD,mini-batch,random,0.01,0.25356452425672166,0.2840008724211534
101,GD,mini-batch,zero,0.01,0.1122568948569344,0.025566231540966686
101,GD,mini-batch,sparse,0.01,0.33036523032196213,0.3548486222518692
101,GD,SGD,random,0.01,0.24969812316506523,0.2819038162563105
101,GD,SGD,zero,0.01,0.11872849714103695,0.04821874448803431
101,GD,SGD,sparse,0.01,0.38834062533748037,0.4159065097505019
101,AdaGrad,full,random,0.01,1.8495791913803612,1.9488146948255771
101,AdaGrad,full,zero,0.01,0.11605020981775703,0.05544595060500561
101,AdaGrad,full,sparse,0.01,1.8245884156806897,1.8673856401796445
101,AdaGrad,mini-batch,random,0.01,1.8538322320035117,1.9531102369985311
101,AdaGrad,mini-batch,zero,0.01,0.1238323309789321,0.06975182734641586
101,AdaGrad,mini-batch,sparse,0.01,1.8280648982128695,1.8711241885997096
101,AdaGrad,SGD,random,0.01,2.0072798549338686,2.109468161444456
101,AdaGrad,SGD,zero,0.01,0.14791699271157205,0.10497675202703356
101,AdaGrad,SGD,sparse,0.01,1.8916504345067495,1.941135177658399
101,RMSProp,full,random,0.01,0.11949169333753099,0.009999990878025854
101,RMSProp,full,zero,0.01,0.10289990703992247,0.009999990878025375
101,RMSProp,full,sparse,0.01,0.11949169333753099,0.009999990878025854
101,RMSProp,mini-batch,random,0.01,0.12320970295646001,0.02083625325498631
101,RMSProp,mini-batch,zero,0.01,0.12320972290957781,0.020836263869578223
101,RMSProp,mini-batch,sparse,0.01,0.12320971459865154,0.020836251857433923
101,RMSProp,SGD,random,0.01,0.10486025255660522,0.08572347436055579
101,RMSProp,SGD,zero,0.01,0.1448866272046265,0.055156202766662894
101,RMSProp,SGD,sparse,0.01,0.11063038551627298,0.10540010695307829
101,Adam,full,random,0.01,0.14351566489680823,0.1615985427685493
101,Adam,full,zero,0.01,0.11105551767105946,4.1864020941524295e-16
101,Adam,full,sparse,0.01,0.1108568261403969,0.0004973566808969147
101,Adam,mini-batch,random,0.01,0.15247739715315226,0.1655256422275
101,Adam,mini-batch,zero,0.01,0.09908146262502697,0.04540189549420485
101,Adam,mini-batch,sparse,0.01,0.11846530849739198,0.03087079621910717
101,Adam,SGD,random,0.01,0.39086534001344736,0.43145882376910355
101,Adam,SGD,zero,0.01,0.1336915364740178,0.057923289038524936
