optimizer,batch,init,lr,we_mean,we_sd,we_min,we_max,dist_max,reaches_naive
GD,full,random,0.01,0.3849965477950375,0.08825513799599281,0.14438549950589827,0.5898910293888121,0.3874532588714374,False
GD,full,zero,0.01,0.27358430410400164,0.06654593400208356,0.1026728012912764,0.4594630270469774,0.14310369833838435,False
GD,full,sparse,0.01,0.4631828245594761,0.09208040055238916,0.21147858410496262,0.6725437804437129,0.48428688757854477,False
GD,mini-batch,random,0.01,0.3835045279636961,0.08873538273782931,0.14321200811885196,0.5931366650026969,0.3853774576097675,False
GD,mini-batch,zero,0.01,0.27093400562261083,0.06728656774391523,0.10360802592013912,0.467915300352665,0.1364633102833553,False
GD,mini-batch,sparse,0.01,0.4617554777043031,0.09375157418421955,0.2144128961183447,0.6595791818197733,0.4797583484636851,False
GD,SGD,random,0.01,0.3964652309471686,0.10954258453532058,0.1664283838212508,0.6274879461727502,0.5654625385848072,False
GD,SGD,zero,0.01,0.2835138834508733,0.09332369502766993,0.07403139498699858,0.5685972575317301,0.3164767855719507,False
GD,SGD,sparse,0.01,0.4695064418818981,0.11152911349926863,0.15513993385644373,0.7337210858649921,0.565599180431692,False
AdaGrad,full,random,0.01,1.6376856502963133,0.299844348257401,0.9086195783861595,2.256451831559577,2.248051028215506,False
AdaGrad,full,zero,0.01,0.5282569217221103,0.16167092944382472,0.11605020981775703,0.8976277379513867,0.6874924121681439,False
AdaGrad,full,sparse,0.01,1.5274114526652967,0.33489864202725594,0.9069648807132252,2.070142342929092,2.0425260359792903,False
AdaGrad,mini-batch,random,0.01,1.6421837855466175,0.29946107509203457,0.923053961719503,2.2622714126552466,2.2547723676627176,False
AdaGrad,mini-batch,zero,0.01,0.5386289414020967,0.1633103905122477,0.1238323309789321,0.9146809462753697,0.6915085232136937,False
AdaGrad,mini-batch,sparse,0.01,1.628768039285057,0.29960432663703007,1.0664057844052526,2.1188784543170778,2.052425813940342,False
AdaGrad,SGD,random,0.01,1.7451046998959934,0.29465768824652705,1.0630363232792923,2.352216243128144,2.343439198220894,False
AdaGrad,SGD,zero,0.01,0.6769167323585014,0.19812125136402745,0.14791699271157205,1.121507905020237,0.789427632368641,False
AdaGrad,SGD,sparse,0.01,1.8712258249419562,0.28705626553232366,1.1734796079871408,2.438206677035245,2.373467706624519,False
RMSProp,full,random,0.01,0.24357385070344173,0.06878678175717834,0.07644068279555412,0.4639874054033674,0.009999991033523253,False
RMSProp,full,zero,0.01,0.24419911686504142,0.06834763851727221,0.09384676879350197,0.4507037745433437,0.009999991033523573,False
RMSProp,full,sparse,0.01,0.243666538836864,0.06750705274109102,0.093846768793502,0.45070377454334365,0.009999991033523226,False
RMSProp,mini-batch,random,0.01,0.24185804421415874,0.07291845706420659,0.07605324154819257,0.47495816444757283,0.13905733772076947,False
RMSProp,mini-batch,zero,0.01,0.24185586228062342,0.07290772805213909,0.07605330882625434,0.4743494767409877,0.13883502755995714,False
RMSProp,mini-batch,sparse,0.01,0.24186384318831336,0.07291694347132904,0.07605385051305026,0.4745947380160153,0.1386317966041855,False
RMSProp,SGD,random,0.01,0.2686075006767315,0.12165279114880517,0.057245333607303606,0.6010275100629893,0.6599078330661978,False
RMSProp,SGD,zero,0.01,0.1790607269863315,0.07211979587198881,0.04128624483534558,0.3940565566597375,0.338664741135127,False
RMSProp,SGD,sparse,0.01,0.30243110141742074,0.14163478341819644,0.03735024644908649,0.6948445435746802,0.6798745454472049,False
Adam,full,random,0.01,0.2638925612067051,0.06007199644754578,0.14351566489680823,0.46474648266847884,0.17506733515480022,False
Adam,full,zero,0.01,0.24404925456465518,0.06789774254424981,0.08500115989997108,0.45730461205737005,0.00044006353206876836,False
Adam,full,sparse,0.01,0.2440514664897426,0.06790018335881297,0.08503542151698884,0.4572844875591932,0.0004973566808969147,False
Adam,mini-batch,random,0.01,0.2666709882461309,0.063709099489811,0.14776807123920951,0.47462356780659964,0.18596617205742724,False
Adam,mini-batch,zero,0.01,0.24049333874757958,0.07501338377133945,0.0858769822805244,0.45665724618595244,0.12373156435843907,False
Adam,mini-batch,sparse,0.01,0.24086629762356046,0.07494354472731266,0.09461745747079595,0.45618113511088326,0.13424450347548272,False
Adam,SGD,random,0.01,0.5076280282318082,0.14332167646093288,0.2102238695294459,0.8374807007382338,0.8232569755795345,False
Adam,SGD,zero,0.01,0.28235894649915966,0.09701633004040852,0.03208785786501694,0.5640245177207084,0.31449207830432363,False
Adam,SGD,sparse,0.01,0.4621554243017534,0.15988927068261435,0.09630491627568272,0.8822123586276615,0.7615049784647067,False
GD,full,random,0.1,0.24405026783600145,0.06789870533376095,0.08500120629533435,0.45728454608060076,7.279669013065922e-07,True
