seed,n_outliers,oracle,naive,ours_v1,ratio-stop,threshold,ours,cycles,settled,longest_cycle,clean_kept,outliers_kept,clean_out_pos,clean_out_neg,ours_lr0.01,ours_lr0.5
100,112,0.017341592022986706,0.19276121569575874,0.014426564972384424,0.015563057983700614,0.012159383326028277,0.012159383326028277,3,True,238,888,6,0,0,0.012092074480020705,0.012163981392603888
101,103,0.014823737561925907,0.1110555176710594,0.09564906867332333,0.015008442508328826,0.013740743670653149,0.012017865737810591,3,True,234,897,3,0,0,0.012050068452749961,0.012005657397483447
102,84,0.028004711475384268,0.23137256768956665,0.23386951051554816,0.026581886998171256,0.02834265451313541,0.02833518234251238,3,True,227,916,1,0,0,0.028372823852578784,0.02832576437973405
103,103,0.02023011715984221,0.26588493975554284,0.656558315558518,0.0246293244380944,0.021558577377805963,0.020207832785402724,3,True,221,897,0,0,0,0.020191873167508534,0.020185916324125728
104,92,0.025499061874535017,0.3181779903383021,1.1781260667400402,0.02951566663434324,0.026884623093576036,0.025034192822191943,3,True,213,907,0,1,0,0.024937977022601775,0.024960323187955224
105,107,0.00665219553401261,0.37683792369344793,0.9524625972857893,0.010039559872797572,0.014665650322060459,0.00715045414016956,4,True,216,892,0,1,0,0.007167028391217268,0.007161785779091907
106,103,0.010978498923839706,0.18829779147291267,0.30505575898378473,0.016183815144771067,0.011692764202913956,0.010967719565727943,3,True,271,897,0,0,0,0.010946076767530823,0.010953160041507839
107,108,0.01814806280077744,0.24667909745283076,0.5245897808619621,0.02538942735329373,0.020450031214822605,0.01817457659403187,3,True,226,892,0,0,0,0.018130713603105288,0.018177141221355497
108,105,0.010281797807167783,0.3479877804561628,0.8564825276104292,0.010755355453533138,0.014814857985933133,0.012564315660926131,4,True,222,893,0,1,1,0.012538085255891495,0.012553873816653377
109,104,0.035429596344434024,0.2985071182038103,0.6713069353719402,0.028607757049496824,0.03546746875832776,0.03546746875832776,3,True,215,896,0,0,0,0.03544705612765674,0.03542547665006491
